feature,importance,importance_pct
Previous Purchases,0.144859337992411,24.94
Age,0.14269273172017852,24.57
Review Rating,0.12912702122184755,22.23
Season_Fall,0.019636107690055995,3.38
Location_Alaska,0.017297154805972367,2.98
Season_Summer,0.01725622524779811,2.97
Season_Spring,0.015492099079096298,2.67
Category_Clothing,0.014498205194711586,2.5
Shipping Type_Standard,0.01256914105608908,2.16
Payment Method_PayPal,0.012109369672951415,2.08
Season_Winter,0.011840041381378417,2.04
Category_Accessories,0.011097135826165684,1.91
Shipping Type_Store Pickup,0.010966717434541216,1.89
Frequency of Purchases_Weekly,0.0106987471319136,1.84
Frequency of Purchases_Annually,0.010685504042647676,1.84
